time,frame_type,path_id,frame_size,ack_delay,acked_ranges,largest_acked,destination_connection_id,mp_ack_ranges,relative_time,time_bucket
7.8753214,ack,0,8,0.969,1,0,,,0.0,0
509.76492,mp_ack,0,16,11.868,1,0,,0.0,0.5018895986,0
913.67303,mp_ack,0,16,0.093,1,0,,0.0,0.9057977086000001,0
1136.3345,mp_ack,0,16,0.07,1,0,,0.0,1.1284591785999998,1
1214.073,mp_ack,0,16,0.04,1,0,,0.0,1.2061976786,1
1265.47,mp_ack,0,16,0.042,1,0,,0.0,1.2575946785999998,1
1307.6671,mp_ack,0,16,0.052,1,0,,0.0,1.2997917785999997,1
1336.9868,mp_ack,0,16,0.047,1,0,,0.0,1.3291114785999998,1
1370.0167,mp_ack,0,16,0.038,1,0,,0.0,1.3621413785999998,1
1396.6267,mp_ack,0,16,0.045,1,0,,0.0,1.3887513785999999,1
1430.3505,mp_ack,0,16,0.038,1,0,,0.0,1.4224751785999998,1
1465.976,mp_ack,0,16,0.034,1,0,,0.0,1.4581006786000001,1
1501.4763,mp_ack,0,16,0.062,1,0,,0.0,1.4936009786,1
1538.4537,mp_ack,0,16,0.04,1,0,,0.0,1.5305783786,1
1572.6909,mp_ack,0,16,0.041,1,0,,0.0,1.5648155786,1
1613.7009,mp_ack,0,16,0.036,1,0,,0.0,1.6058255786,1
1654.7504,mp_ack,0,16,0.038,1,0,,0.0,1.6468750786,1
1693.7676,mp_ack,0,16,0.035,1,0,,0.0,1.6858922786,1
1731.7233,mp_ack,0,16,0.063,1,0,,0.0,1.7238479786,1
1766.0698,mp_ack,0,16,0.038,1,0,,0.0,1.7581944785999999,1
1809.2238,mp_ack,0,16,0.042,1,0,,0.0,1.8013484785999998,1
1846.6772,mp_ack,0,16,0.054,1,0,,0.0,1.8388018786,1
1895.0425,mp_ack,0,16,0.052,1,0,,0.0,1.8871671786,1
1941.8545,mp_ack,0,16,0.04,1,0,,0.0,1.9339791785999998,1
1992.0847,mp_ack,0,16,0.03,1,0,,0.0,1.9842093786000001,1
2010.9384,mp_ack,0,16,0.294,1,0,,0.0,2.0030630786,1
2062.726,mp_ack,0,16,0.072,1,0,,0.0,2.0548506786000003,1
2103.8499,mp_ack,0,16,0.037,1,0,,0.0,2.0959745786000004,1
2145.6926,mp_ack,0,16,0.035,1,0,,0.0,2.1378172786,1
2148.881,mp_ack,0,16,0.047,1,0,,0.0,2.1410056786,1
2178.8948,mp_ack,0,16,0.035,1,0,,0.0,2.1710194786000003,1
2258.8967,mp_ack,0,16,1.024,1,0,,0.0,2.2510213786,2
2325.663,mp_ack,0,16,0.035,1,0,,0.0,2.3177876786000002,2
2377.7903,mp_ack,0,16,0.04,1,0,,0.0,2.3699149786,2
2412.2961,mp_ack,0,16,0.042,1,0,,0.0,2.4044207786,2
2449.748,mp_ack,0,16,0.04,1,0,,0.0,2.4418726786000002,2
2496.0042,mp_ack,0,16,0.058,1,0,,0.0,2.4881288786,2
2547.8157,mp_ack,0,16,0.039,1,0,,0.0,2.5399403786000003,2
2588.6282,mp_ack,0,16,0.069,1,0,,0.0,2.5807528786000002,2
2620.039,mp_ack,0,16,0.08,1,0,,0.0,2.6121636786000004,2
2650.0923,mp_ack,0,16,0.083,1,0,,0.0,2.6422169786,2
2684.731,mp_ack,0,16,0.087,1,0,,0.0,2.6768556786000004,2
2732.2017,mp_ack,0,16,0.077,1,0,,0.0,2.7243263786000003,2
2778.299,mp_ack,0,16,0.035,1,0,,0.0,2.7704236786000003,2
2825.944,mp_ack,0,16,0.041,1,0,,0.0,2.8180686786,2
2875.002,mp_ack,0,16,0.064,1,0,,0.0,2.8671266786,2
2920.1306,mp_ack,0,16,0.06,1,0,,0.0,2.9122552786,2
2952.479,mp_ack,0,16,0.041,1,0,,0.0,2.9446036786,2
2988.6838,mp_ack,0,16,0.061,1,0,,0.0,2.9808084785999998,2
3031.122,mp_ack,0,16,0.037,1,0,,0.0,3.0232466786,2
3074.4993,mp_ack,0,16,0.07,1,0,,0.0,3.0666239786,2
3115.361,mp_ack,0,16,0.038,1,0,,0.0,3.1074856786000002,2
3151.947,mp_ack,0,16,0.034,1,0,,0.0,3.1440716786000005,2
3181.4736,mp_ack,0,16,0.035,1,0,,0.0,3.1735982786,2
3216.1436,mp_ack,0,16,0.038,1,0,,0.0,3.2082682786,2
3259.26,mp_ack,0,16,0.037,1,0,,0.0,3.2513846786000005,2
3302.1558,mp_ack,0,16,0.034,1,0,,0.0,3.2942804786,3
3330.7507,mp_ack,0,16,0.04,1,0,,0.0,3.3228753786,3
3381.7507,mp_ack,0,16,0.038,1,0,,0.0,3.3738753786,3
3425.7861,mp_ack,0,16,0.062,1,0,,0.0,3.4179107786,3
3464.5044,mp_ack,0,16,0.04,1,0,,0.0,3.4566290786,3
3505.1926,mp_ack,0,16,0.033,1,0,,0.0,3.4973172786,3
3539.7517,mp_ack,0,16,0.035,1,0,,0.0,3.5318763786,3
3574.2239,mp_ack,0,16,0.034,1,0,,0.0,3.5663485786,3
3602.482,mp_ack,0,16,0.037,1,0,,0.0,3.5946066786,3
3637.6426,mp_ack,0,16,0.033,1,0,,0.0,3.6297672786,3
3672.823,mp_ack,0,16,0.04,1,0,,0.0,3.6649476786,3
3707.6526,mp_ack,0,16,0.043,1,0,,0.0,3.6997772786,3
3738.1548,mp_ack,0,16,0.036,1,0,,0.0,3.7302794786,3
3770.5354,mp_ack,0,16,0.039,1,0,,0.0,3.7626600786,3
3802.5173,mp_ack,0,16,0.043,1,0,,0.0,3.7946419786,3
3832.8652,mp_ack,0,16,0.057,1,0,,0.0,3.8249898786000003,3
3866.3975,mp_ack,0,16,0.035,1,0,,0.0,3.8585221786000004,3
3902.8281,mp_ack,0,16,0.037,1,0,,0.0,3.8949527786000004,3
3938.951,mp_ack,0,16,0.044,1,0,,0.0,3.9310756786,3
3968.6648,mp_ack,0,16,0.044,1,0,,0.0,3.9607894786,3
4007.7358,mp_ack,0,16,0.052,1,0,,0.0,3.9998604786,3
4035.7026,mp_ack,0,16,0.06,1,0,,0.0,4.0278272786,3
4069.1453,mp_ack,0,16,0.066,1,0,,0.0,4.0612699786,3
4106.7627,mp_ack,0,16,0.033,1,0,,0.0,4.098887378600001,3
4144.6997,mp_ack,0,16,0.041,1,0,,0.0,4.1368243786,3
4175.788,mp_ack,0,16,0.037,1,0,,0.0,4.1679126786,3
4212.0107,mp_ack,0,16,0.04,1,0,,0.0,4.2041353786,3
4242.1533,mp_ack,0,16,0.036,1,0,,0.0,4.2342779786,3
4277.496,mp_ack,0,16,0.037,1,0,,0.0,4.2696206786,3
4313.1514,mp_ack,0,16,0.039,1,0,,0.0,4.3052760785999995,3
4345.771,mp_ack,0,16,0.039,1,0,,0.0,4.3378956786,3
4377.485,mp_ack,0,16,0.031,1,0,,0.0,4.3696096786,3
4409.574,mp_ack,0,16,0.036,1,0,,0.0,4.4016986786,4
4445.6025,mp_ack,0,16,0.036,1,0,,0.0,4.4377271786,4
4482.8184,mp_ack,0,16,0.041,1,0,,0.0,4.4749430786,4
4517.1465,mp_ack,0,16,0.038,1,0,,0.0,4.5092711786,4
4559.335,mp_ack,0,16,0.031,1,0,,0.0,4.551459678600001,4
4590.3325,mp_ack,0,16,0.04,1,0,,0.0,4.5824571786,4
4631.0,mp_ack,0,16,0.035,1,0,,0.0,4.6231246786,4
4675.9194,mp_ack,0,16,0.041,1,0,,0.0,4.6680440785999995,4
4711.814,mp_ack,0,16,0.035,1,0,,0.0,4.7039386786,4
4747.326,mp_ack,0,16,0.038,1,0,,0.0,4.7394506786,4
4780.162,mp_ack,0,16,0.033,1,0,,0.0,4.7722866786,4
4812.1196,mp_ack,0,16,0.039,1,0,,0.0,4.804244278600001,4
4845.846,mp_ack,0,16,0.037,1,0,,0.0,4.8379706786,4
4877.447,mp_ack,0,16,0.032,1,0,,0.0,4.8695716786,4
4906.7754,mp_ack,0,16,0.037,1,0,,0.0,4.8989000786000005,4
4940.4087,mp_ack,0,16,0.047,1,0,,0.0,4.9325333786000005,4
4972.9473,mp_ack,0,16,0.04,1,0,,0.0,4.9650719786,4
5003.1665,mp_ack,0,16,0.042,1,0,,0.0,4.9952911786000005,4
5036.5474,mp_ack,0,16,0.068,1,0,,0.0,5.0286720786000005,4
5070.0996,mp_ack,0,16,0.035,1,0,,0.0,5.0622242786,4
5102.0054,mp_ack,0,16,0.033,1,0,,0.0,5.0941300786,4
5131.631,mp_ack,0,16,0.056,1,0,,0.0,5.1237556786,4
5164.4136,mp_ack,0,16,0.038,1,0,,0.0,5.1565382786,4
5200.367,mp_ack,0,16,0.038,1,0,,0.0,5.192491678600001,4
5215.397,mp_ack,0,16,0.033,1,0,,0.0,5.2075216786,4
5232.8545,mp_ack,0,16,0.038,1,0,,0.0,5.224979178600001,4
5266.0903,mp_ack,0,16,0.04,1,0,,0.0,5.2582149786,4
5298.4146,mp_ack,0,16,0.039,1,0,,0.0,5.2905392786,4
5329.39,mp_ack,0,16,0.036,1,0,,0.0,5.321514678600001,4
5363.513,mp_ack,0,16,0.038,1,0,,0.0,5.3556376786,4
5400.246,mp_ack,0,16,0.042,1,0,,0.0,5.3923706786,4
5431.112,mp_ack,0,16,0.036,1,0,,0.0,5.4232366786,4
5467.5767,mp_ack,0,16,0.043,1,0,,0.0,5.4597013786,4
5495.7295,mp_ack,0,16,0.035,1,0,,0.0,5.4878541786,5
5530.542,mp_ack,0,16,0.03,1,0,,0.0,5.5226666786,5
5559.271,mp_ack,0,16,0.031,1,0,,0.0,5.5513956786,5
5590.824,mp_ack,0,16,0.038,1,0,,0.0,5.582948678599999,5
5624.583,mp_ack,0,16,0.034,1,0,,0.0,5.6167076786,5
5657.5596,mp_ack,0,16,0.034,1,0,,0.0,5.6496842786,5
5686.6274,mp_ack,0,16,0.037,1,0,,0.0,5.6787520786000005,5
5724.8394,mp_ack,0,16,0.037,1,0,,0.0,5.7169640786,5
5761.302,mp_ack,0,16,0.031,1,0,,0.0,5.7534266785999995,5
5796.0913,mp_ack,0,16,0.036,1,0,,0.0,5.7882159786,5
5830.636,mp_ack,0,16,0.051,1,0,,0.0,5.822760678600001,5
5865.7046,mp_ack,0,16,0.063,1,0,,0.0,5.857829278600001,5
5900.4795,mp_ack,0,16,0.037,1,0,,0.0,5.892604178600001,5
5933.498,mp_ack,0,16,0.036,1,0,,0.0,5.9256226786,5
